BAR,DB,PHONE,STORE_SITE_ID,ACTIVE,NOTEPADURL
BAR718,696,NA,,687,
BAR719,697,NA,,688,
BAR720,698,NA,,689,
BAR721,699,NA,,690,
BAR722,700,NA,,691,
BAR723,701,NA,,692,
BAR724,702,NA,,693,
BAR725,703,NA,,694,
BAR726,704,NA,,695,
BAR727,705,NA,,696,
BAR728,706,NA,,697,
BAR729,707,NA,,698,
BAR730,708,NA,,699,
BAR731,709,NA,,700,
BAR732,710,NA,,701,
BAR733,711,NA,,702,
BAR734,712,NA,,703,
BAR735,713,NA,,704,
BAR736,714,NA,,705,
BAR737,715,NA,,706,
BAR738,716,NA,,707,
BAR739,717,NA,,708,
BAR740,718,NA,,709,
BAR741,719,NA,,710,
BAR742,720,NA,,711,
BAR743,721,NA,,712,
BAR744,722,NA,,713,
BAR745,723,NA,,714,
BAR746,724,NA,,715,
BAR747,725,NA,,716,
BAR748,726,NA,,717,
BAR749,727,NA,,718,
